SKU,Danh mục,Danh mục con,Tên sản phẩm,Thông số kỹ thuật,Xuất xứ,Giá (VNĐ)
KX-0791,Xích truyền động,Khóa xích,Khóa xích 60-1R Đơn,Cỡ xích: 60-1R | Kiểu: Đơn,,17000
KX-0792,Xích truyền động,Khóa xích,Khóa xích 60-1R Eo,Cỡ xích: 60-1R | Kiểu: Eo,,20000
KX-0793,Xích truyền động,Khóa xích,Khóa xích 60-1R Đôi,Cỡ xích: 60-1R | Kiểu: Đôi,,30000
KX-0794,Xích truyền động,Khóa xích,Khóa xích 60-1R Eo đôi,Cỡ xích: 60-1R | Kiểu: Eo đôi,,35000
KX-0795,Xích truyền động,Khóa xích,Khóa xích 80-1R Đơn,Cỡ xích: 80-1R | Kiểu: Đơn,,22000
KX-0796,Xích truyền động,Khóa xích,Khóa xích 80-1R Eo,Cỡ xích: 80-1R | Kiểu: Eo,,27000
KX-0797,Xích truyền động,Khóa xích,Khóa xích 80-1R Đôi,Cỡ xích: 80-1R | Kiểu: Đôi,,40000
KX-0798,Xích truyền động,Khóa xích,Khóa xích 80-1R Eo đôi,Cỡ xích: 80-1R | Kiểu: Eo đôi,,50000
KX-0799,Xích truyền động,Khóa xích,Khóa xích 100-1R Đơn,Cỡ xích: 100-1R | Kiểu: Đơn,,35000
KX-0800,Xích truyền động,Khóa xích,Khóa xích 100-1R Eo,Cỡ xích: 100-1R | Kiểu: Eo,,50000
KX-0801,Xích truyền động,Khóa xích,Khóa xích 100-1R Đôi,Cỡ xích: 100-1R | Kiểu: Đôi,,65000
KX-0802,Xích truyền động,Khóa xích,Khóa xích 100-1R Eo đôi,Cỡ xích: 100-1R | Kiểu: Eo đôi,,90000
KX-0803,Xích truyền động,Khóa xích,Khóa xích 120-1R Đơn,Cỡ xích: 120-1R | Kiểu: Đơn,,50000
KX-0804,Xích truyền động,Khóa xích,Khóa xích 120-1R Eo,Cỡ xích: 120-1R | Kiểu: Eo,,95000
KX-0805,Xích truyền động,Khóa xích,Khóa xích 120-1R Đôi,Cỡ xích: 120-1R | Kiểu: Đôi,,90000
KX-0806,Xích truyền động,Khóa xích,Khóa xích 120-1R Eo đôi,Cỡ xích: 120-1R | Kiểu: Eo đôi,,190000
KX-0807,Xích truyền động,Khóa xích,Khóa xích 140-1R Đơn,Cỡ xích: 140-1R | Kiểu: Đơn,,90000
KX-0808,Xích truyền động,Khóa xích,Khóa xích 140-1R Eo,Cỡ xích: 140-1R | Kiểu: Eo,,120000
KX-0809,Xích truyền động,Khóa xích,Khóa xích 140-1R Đôi,Cỡ xích: 140-1R | Kiểu: Đôi,,170000
KX-0810,Xích truyền động,Khóa xích,Khóa xích 140-1R Eo đôi,Cỡ xích: 140-1R | Kiểu: Eo đôi,,250000
KX-0811,Xích truyền động,Khóa xích,Khóa xích 160-1R Đơn,Cỡ xích: 160-1R | Kiểu: Đơn,,125000
KX-0812,Xích truyền động,Khóa xích,Khóa xích 160-1R Eo,Cỡ xích: 160-1R | Kiểu: Eo,,190000
KX-0813,Xích truyền động,Khóa xích,Khóa xích 160-1R Đôi,Cỡ xích: 160-1R | Kiểu: Đôi,,250000
KX-0814,Xích truyền động,Khóa xích,Khóa xích 160-1R Eo đôi,Cỡ xích: 160-1R | Kiểu: Eo đôi,,460000
KX-0815,Xích truyền động,Khóa xích,Khóa xích 40 INOX Đơn,Cỡ xích: 40 INOX | Kiểu: Đơn,,25000
KX-0816,Xích truyền động,Khóa xích,Khóa xích 50 INOX Đơn,Cỡ xích: 50 INOX | Kiểu: Đơn,,30000
KX-0817,Xích truyền động,Khóa xích,Khóa xích 60 INOX Đơn,Cỡ xích: 60 INOX | Kiểu: Đơn,,50000
KX-0818,Xích truyền động,Khóa xích,Khóa xích 60 INOX Eo,Cỡ xích: 60 INOX | Kiểu: Eo,,65000
KX-0819,Xích truyền động,Khóa xích,Khóa xích 80 INOX Đơn,Cỡ xích: 80 INOX | Kiểu: Đơn,,80000
KX-0820,Xích truyền động,Khóa xích,Khóa xích C2052 Đơn,Cỡ xích: C2052 | Kiểu: Đơn,,22000
KX-0821,Xích truyền động,Khóa xích,Khóa xích C2062 Đơn,Cỡ xích: C2062 | Kiểu: Đơn,,22000
KX-0822,Xích truyền động,Khóa xích,Khóa xích C2082 Đơn,Cỡ xích: C2082 | Kiểu: Đơn,,38000
KX-0823,Xích truyền động,Khóa xích,Khóa xích 12B-1R Đơn,Cỡ xích: 12B-1R | Kiểu: Đơn,,16000
KX-0824,Xích truyền động,Khóa xích,Khóa xích Khóa 50-3R Đơn,Cỡ xích: Khóa 50-3R | Kiểu: Đơn,,85000
KX-0825,Xích truyền động,Khóa xích,Khóa xích Khóa 35-1 Eo,Cỡ xích: Khóa 35-1 | Kiểu: Eo,,22000
KX-0826,Xích truyền động,Khóa xích,Khóa xích Khóa 40-1 Đơn,Cỡ xích: Khóa 40-1 | Kiểu: Đơn,,25000
KX-0827,Xích truyền động,Khóa xích,Khóa xích Khóa 50-1 Đơn,Cỡ xích: Khóa 50-1 | Kiểu: Đơn,,35000
KX-0828,Xích truyền động,Khóa xích,Khóa xích Khóa 60-1 Đơn,Cỡ xích: Khóa 60-1 | Kiểu: Đơn,,5000
KX-0829,Xích truyền động,Khóa xích,Khóa xích Khóa 80-1 Đơn,Cỡ xích: Khóa 80-1 | Kiểu: Đơn,,75000
KX-0830,Xích truyền động,Khóa xích,Khóa xích Khóa 100-1 Đơn,Cỡ xích: Khóa 100-1 | Kiểu: Đơn,,85000
KX-0831,Xích truyền động,Khóa xích,Khóa xích Khóa C2062 Eo,Cỡ xích: Khóa C2062 | Kiểu: Eo,,60000
KX-0832,Xích truyền động,Khóa xích,Khóa xích Khóa 120-1R Đơn,Cỡ xích: Khóa 120-1R | Kiểu: Đơn,,95000
KX-0833,Xích truyền động,Khóa xích,Khóa xích Khóa 08-3R Đơn,Cỡ xích: Khóa 08-3R | Kiểu: Đơn,,60000
KN-0834,Khớp nối,Khớp nối xích,Khớp nối xích 40-12 STAR,Cỡ xích: 40-12,STAR,45000
KN-0835,Khớp nối,Khớp nối xích,Khớp nối xích 40-12 CHC,Cỡ xích: 40-12,CHC,45000
KN-0836,Khớp nối,Khớp nối xích,Khớp nối xích 40-14 STAR,Cỡ xích: 40-14,STAR,50000
KN-0837,Khớp nối,Khớp nối xích,Khớp nối xích 40-14 CHC,Cỡ xích: 40-14,CHC,60000
KN-0838,Khớp nối,Khớp nối xích,Khớp nối xích 40-16 STAR,Cỡ xích: 40-16,STAR,60000
KN-0839,Khớp nối,Khớp nối xích,Khớp nối xích 40-16 CHC,Cỡ xích: 40-16,CHC,75000
KN-0840,Khớp nối,Khớp nối xích,Khớp nối xích 50-14 STAR,Cỡ xích: 50-14,STAR,70000
KN-0841,Khớp nối,Khớp nối xích,Khớp nối xích 50-14 CHC,Cỡ xích: 50-14,CHC,95000
KN-0842,Khớp nối,Khớp nối xích,Khớp nối xích 50-16 STAR,Cỡ xích: 50-16,STAR,90000
KN-0843,Khớp nối,Khớp nối xích,Khớp nối xích 50-16 CHC,Cỡ xích: 50-16,CHC,110000
KN-0844,Khớp nối,Khớp nối xích,Khớp nối xích 50-18 STAR,Cỡ xích: 50-18,STAR,105000
KN-0845,Khớp nối,Khớp nối xích,Khớp nối xích 50-18 CHC,Cỡ xích: 50-18,CHC,130000
KN-0846,Khớp nối,Khớp nối xích,Khớp nối xích 60-18 STAR,Cỡ xích: 60-18,STAR,150000
KN-0847,Khớp nối,Khớp nối xích,Khớp nối xích 60-18 CHC,Cỡ xích: 60-18,CHC,180000
KN-0848,Khớp nối,Khớp nối xích,Khớp nối xích 60-20 STAR,Cỡ xích: 60-20,STAR,160000
KN-0849,Khớp nối,Khớp nối xích,Khớp nối xích 60-20 CHC,Cỡ xích: 60-20,CHC,220000
KN-0850,Khớp nối,Khớp nối xích,Khớp nối xích 60-22 STAR,Cỡ xích: 60-22,STAR,170000
KN-0851,Khớp nối,Khớp nối xích,Khớp nối xích 60-22 CHC,Cỡ xích: 60-22,CHC,265000
KN-0852,Khớp nối,Khớp nối xích,Khớp nối xích 80-18 STAR,Cỡ xích: 80-18,STAR,220000
KN-0853,Khớp nối,Khớp nối xích,Khớp nối xích 80-18 CHC,Cỡ xích: 80-18,CHC,310000
KN-0854,Khớp nối,Khớp nối xích,Khớp nối xích 80-20 STAR,Cỡ xích: 80-20,STAR,225000
KN-0855,Khớp nối,Khớp nối xích,Khớp nối xích 80-20 CHC,Cỡ xích: 80-20,CHC,345000
KN-0856,Khớp nối,Khớp nối xích,Khớp nối xích 80-22 STAR,Cỡ xích: 80-22,STAR,231000
KN-0857,Khớp nối,Khớp nối xích,Khớp nối xích 80-22 CHC,Cỡ xích: 80-22,CHC,400000
KN-0858,Khớp nối,Khớp nối xích,Khớp nối xích 40-12 TQ,Cỡ: 40-12,TQ,225000
KN-0859,Khớp nối,Khớp nối xích,Khớp nối xích 40-12 CHC,Cỡ: 40-12,CHC,20000
KN-0860,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL 90,Cỡ: CL 90,,220000
KN-0861,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L050,Cỡ: L050,,135000
KN-0862,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 67,Cỡ: NM 67,,220000
KN-0863,Khớp nối,Khớp nối xích,Khớp nối xích 40-14 TQ,Cỡ: 40-14,TQ,240000
KN-0864,Khớp nối,Khớp nối xích,Khớp nối xích 40-14 CHC,Cỡ: 40-14,CHC,275000
KN-0865,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL100,Cỡ: CL100,,30000
KN-0866,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L070,Cỡ: L070,,160000
KN-0867,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 82,Cỡ: NM 82,,275000
KN-0868,Khớp nối,Khớp nối xích,Khớp nối xích 40-16 TQ,Cỡ: 40-16,TQ,260000
KN-0869,Khớp nối,Khớp nối xích,Khớp nối xích 40-16 CHC,Cỡ: 40-16,CHC,300000
KN-0870,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL112,Cỡ: CL112,,395000
KN-0871,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L075,Cỡ: L075,,175000
KN-0872,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 97,Cỡ: NM 97,,430000
KN-0873,Khớp nối,Khớp nối xích,Khớp nối xích 50-14 TQ,Cỡ: 50-14,TQ,340000
KN-0874,Khớp nối,Khớp nối xích,Khớp nối xích 50-14 CHC,Cỡ: 50-14,CHC,390000
KN-0875,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL125,Cỡ: CL125,,500000
KN-0876,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L090,Cỡ: L090,,200000
KN-0877,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 112,Cỡ: NM 112,,615000
KN-0878,Khớp nối,Khớp nối xích,Khớp nối xích 50-16 TQ,Cỡ: 50-16,TQ,400000
KN-0879,Khớp nối,Khớp nối xích,Khớp nối xích 50-16 CHC,Cỡ: 50-16,CHC,460000
KN-0880,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL140,Cỡ: CL140,,580000
KN-0881,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L095,Cỡ: L095,,265000
KN-0882,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 128,Cỡ: NM 128,,795000
KN-0883,Khớp nối,Khớp nối xích,Khớp nối xích 50-18 TQ,Cỡ: 50-18,TQ,460000
KN-0884,Khớp nối,Khớp nối xích,Khớp nối xích 50-18 CHC,Cỡ: 50-18,CHC,530000
KN-0885,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL160,Cỡ: CL160,,905000
KN-0886,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L100,Cỡ: L100,,340000
KN-0887,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 148,Cỡ: NM 148,,1210000
KN-0888,Khớp nối,Khớp nối xích,Khớp nối xích 60-18 TQ,Cỡ: 60-18,TQ,760000
KN-0889,Khớp nối,Khớp nối xích,Khớp nối xích 60-18 CHC,Cỡ: 60-18,CHC,880000
KN-0890,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL180,Cỡ: CL180,,1050000
KN-0891,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L110,Cỡ: L110,,61500
KN-0892,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 168,Cỡ: NM 168,,2200000
KN-0893,Khớp nối,Khớp nối xích,Khớp nối xích 60-20 TQ,Cỡ: 60-20,TQ,940000
KN-0894,Khớp nối,Khớp nối xích,Khớp nối xích 60-20 CHC,Cỡ: 60-20,CHC,1080000
KN-0895,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL200,Cỡ: CL200,,1690000
KN-0896,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L150,Cỡ: L150,,900000
KN-0897,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 194,Cỡ: NM 194,,3300000
KN-0898,Khớp nối,Khớp nối xích,Khớp nối xích 60-22 TQ,Cỡ: 60-22,TQ,990000
KN-0899,Khớp nối,Khớp nối xích,Khớp nối xích 60-22 CHC,Cỡ: 60-22,CHC,1140000
KN-0900,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL224,Cỡ: CL224,,2610000
KN-0901,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L190,Cỡ: L190,,1155000
KN-0902,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi NM 214,Cỡ: NM 214,,5060000
KN-0903,Khớp nối,Khớp nối xích,Khớp nối xích 80-18 TQ,Cỡ: 80-18,TQ,1450000
KN-0904,Khớp nối,Khớp nối xích,Khớp nối xích 80-18 CHC,Cỡ: 80-18,CHC,1670000
KN-0905,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL250,Cỡ: CL250,,3210000
KN-0906,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh L225,Cỡ: L225,,1430000
KN-0907,Khớp nối,Khớp nối xích,Khớp nối xích 80-20 TQ,Cỡ: 80-20,TQ,1750000
KN-0908,Khớp nối,Khớp nối xích,Khớp nối xích 80-20 CHC,Cỡ: 80-20,CHC,2020000
KN-0909,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL280,Cỡ: CL280,,5445000
KN-0910,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE14,Cỡ: GE14,,360000
KN-0911,Khớp nối,Khớp nối đàn hồi NM,Khớp nối đàn hồi GE55,Cỡ: GE55,,2050000
KN-0912,Khớp nối,Khớp nối xích,Khớp nối xích 80-22 TQ,Cỡ: 80-22,TQ,2100000
KN-0913,Khớp nối,Khớp nối xích,Khớp nối xích 80-22 CHC,Cỡ: 80-22,CHC,2440000
KN-0914,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL315,Cỡ: CL315,,6510000
KN-0915,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE19,Cỡ: GE19,,420000
KN-0916,Khớp nối,Khớp nối xích,Khớp nối xích 100-18 TQ,Cỡ: 100-18,TQ,4200000
KN-0917,Khớp nối,Khớp nối xích,Khớp nối xích 100-18 CHC,Cỡ: 100-18,CHC,4950000
KN-0918,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL355,Cỡ: CL355,,9410000
KN-0919,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE24,Cỡ: GE24,,540000
KN-0920,Khớp nối,Khớp nối xích,Khớp nối xích 100-20 TQ,Cỡ: 100-20,TQ,4600000
KN-0921,Khớp nối,Khớp nối xích,Khớp nối xích 100-20 CHC,Cỡ: 100-20,CHC,5350000
KN-0922,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL400,Cỡ: CL400,,12100000
KN-0923,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GR28,Cỡ: GR28,,580000
KN-0924,Khớp nối,Khớp nối xích,Khớp nối xích 120-18 TQ,Cỡ: 120-18,TQ,7350000
KN-0925,Khớp nối,Khớp nối xích,Khớp nối xích 120-18 CHC,Cỡ: 120-18,CHC,8470000
KN-0926,Khớp nối,Khớp nối bulong (Flange Coupling),Khớp nối bulong CL450,Cỡ: CL450,,17730000
KN-0927,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE38,Cỡ: GE38,,945000
KN-0928,Khớp nối,Khớp nối xích,Khớp nối xích 120-22 TQ,Cỡ: 120-22,TQ,7950000
KN-0929,Khớp nối,Khớp nối xích,Khớp nối xích 120-22 CHC,Cỡ: 120-22,CHC,9150000
KN-0930,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE42,Cỡ: GE42,,1210000
KN-0931,Khớp nối,Khớp nối xích,Khớp nối xích 160-18 TQ,Cỡ: 160-18,TQ,13300000
KN-0932,Khớp nối,Khớp nối xích,Khớp nối xích 160-18 CHC,Cỡ: 160-18,CHC,15300000
KN-0933,Khớp nối,Khớp nối 4 cánh (Jaw Coupling),Khớp nối 4 cánh GE48,Cỡ: GE48,,1570000
THN-0934,Khớp nối,Then (Parallel Key),Then 8X40mm,Kích thước: 8X40mm,,6000
OC-0935,Khớp nối,Ốc chìm,Ốc chìm M6,Cỡ: M6,,500
TQY-0936,Khớp nối,Tay quay,Tay quay 8P cùi nhỏ,Cỡ: 8P cùi nhỏ,,40000
PC-0937,Khớp nối,Phe cài,Phe cài PHI 20,Phi: PHI 20,,2000
THN-0938,Khớp nối,Then (Parallel Key),Then 8X50mm,Kích thước: 8X50mm,,70000
OC-0939,Khớp nối,Ốc chìm,Ốc chìm M8,Cỡ: M8,,1000
TQY-0940,Khớp nối,Tay quay,Tay quay 8P cùi lớn,Cỡ: 8P cùi lớn,,50000
PC-0941,Khớp nối,Phe cài,Phe cài PHI 25,Phi: PHI 25,,2000
THN-0942,Khớp nối,Then (Parallel Key),Then 8X80mm,Kích thước: 8X80mm,,10000
OC-0943,Khớp nối,Ốc chìm,Ốc chìm M10,Cỡ: M10,,1000
TQY-0944,Khớp nối,Tay quay,Tay quay 1T,Cỡ: 1T,,65000
PC-0945,Khớp nối,Phe cài,Phe cài PHI 30,Phi: PHI 30,,3000
THN-0946,Khớp nối,Then (Parallel Key),Then 8X100mm,Kích thước: 8X100mm,,12000
OC-0947,Khớp nối,Ốc chìm,Ốc chìm M12,Cỡ: M12,,2000
TQY-0948,Khớp nối,Tay quay,Tay quay 1T2,Cỡ: 1T2,,70000
PC-0949,Khớp nối,Phe cài,Phe cài PHI 32,Phi: PHI 32,,3000
THN-0950,Khớp nối,Then (Parallel Key),Then 10X60mm,Kích thước: 10X60mm,,8000
OC-0951,Khớp nối,Ốc chìm,Ốc chìm M14,Cỡ: M14,,3500
TQY-0952,Khớp nối,Tay quay,Tay quay 1T2  DÀY,Cỡ: 1T2  DÀY,,75000
PC-0953,Khớp nối,Phe cài,Phe cài PHI 35,Phi: PHI 35,,3000
THN-0954,Khớp nối,Then (Parallel Key),Then 10X80mm,Kích thước: 10X80mm,,10000
TQY-0955,Khớp nối,Tay quay,Tay quay 1T4,Cỡ: 1T4,,90000
PC-0956,Khớp nối,Phe cài,Phe cài PHI 37,Phi: PHI 37,,3000
THN-0957,Khớp nối,Then (Parallel Key),Then 10X100mm,Kích thước: 10X100mm,,14000
OC-0958,Khớp nối,Ốc chìm,Ốc chìm 8X1M,Cỡ: 8X1M,,65000
TQY-0959,Khớp nối,Tay quay,Tay quay 1T5,Cỡ: 1T5,,100000
PC-0960,Khớp nối,Phe cài,Phe cài PHI 40,Phi: PHI 40,,4000
THN-0961,Khớp nối,Then (Parallel Key),Then 12X60mm,Kích thước: 12X60mm,,10000
OC-0962,Khớp nối,Ốc chìm,Ốc chìm 10X1M,Cỡ: 10X1M,,80000
TQY-0963,Khớp nối,Tay quay,Tay quay 1T6,Cỡ: 1T6,,110000
PC-0964,Khớp nối,Phe cài,Phe cài PHI 42,Phi: PHI 42,,4000
THN-0965,Khớp nối,Then (Parallel Key),Then 12X80mm,Kích thước: 12X80mm,,14000
OC-0966,Khớp nối,Ốc chìm,Ốc chìm 12X1M,Cỡ: 12X1M,,95000
TQY-0967,Khớp nối,Tay quay,Tay quay 1T8,Cỡ: 1T8,,125000
PC-0968,Khớp nối,Phe cài,Phe cài PHI 45,Phi: PHI 45,,5000
THN-0969,Khớp nối,Then (Parallel Key),Then 12X100mm,Kích thước: 12X100mm,,16000
OC-0970,Khớp nối,Ốc chìm,Ốc chìm 14X1M,Cỡ: 14X1M,,130000
TQY-0971,Khớp nối,Tay quay,Tay quay 2T,Cỡ: 2T,,230000
PC-0972,Khớp nối,Phe cài,Phe cài PHI 47,Phi: PHI 47,,5000
THN-0973,Khớp nối,Then (Parallel Key),Then 14X60mm,Kích thước: 14X60mm,,13000
OC-0974,Khớp nối,Ốc chìm,Ốc chìm 16X1M,Cỡ: 16X1M,,140000
TQY-0975,Khớp nối,Tay quay,Tay quay 2T2,Cỡ: 2T2,,270000
PC-0976,Khớp nối,Phe cài,Phe cài PHI 50,Phi: PHI 50,,5000
THN-0977,Khớp nối,Then (Parallel Key),Then 14X80mm,Kích thước: 14X80mm,,16000
OC-0978,Khớp nối,Ốc chìm,Ốc chìm vuông 6x1m,Cỡ: vuông 6x1m,,60000
TQY-0979,Khớp nối,Tay quay,Tay quay 2T4,Cỡ: 2T4,,290000
PC-0980,Khớp nối,Phe cài,Phe cài PHI 52,Phi: PHI 52,,5500
THN-0981,Khớp nối,Then (Parallel Key),Then 14X100mm,Kích thước: 14X100mm,,18000
OC-0982,Khớp nối,Ốc chìm,Ốc chìm vuông 8x1m,Cỡ: vuông 8x1m,,70000
TQY-0983,Khớp nối,Tay quay,Tay quay 2T5,Cỡ: 2T5,,320000
PC-0984,Khớp nối,Phe cài,Phe cài PHI 55,Phi: PHI 55,,5500
THN-0985,Khớp nối,Then (Parallel Key),Then 16X100mm,Kích thước: 16X100mm,,28000
OC-0986,Khớp nối,Ốc chìm,Ốc chìm vuông 10x1m,Cỡ: vuông 10x1m,,85000
TQY-0987,Khớp nối,Tay quay,Tay quay 2T8,Cỡ: 2T8,,390000
PC-0988,Khớp nối,Phe cài,Phe cài PHI 60,Phi: PHI 60,,6500
THN-0989,Khớp nối,Then (Parallel Key),Then 18X100mm,Kích thước: 18X100mm,,42000
OC-0990,Khớp nối,Ốc chìm,Ốc chìm vuông 12x1m,Cỡ: vuông 12x1m,,120000
TQY-0991,Khớp nối,Tay quay,Tay quay 3T,Cỡ: 3T,,425000
PC-0992,Khớp nối,Phe cài,Phe cài PHI 65,Phi: PHI 65,,8000
THN-0993,Khớp nối,Then (Parallel Key),Then 20 X 100mm,Kích thước: 20 X 100mm,,45000
OC-0994,Khớp nối,Ốc chìm,Ốc chìm vuông 14x1m,Cỡ: vuông 14x1m,,130000
TQY-0995,Khớp nối,Tay quay,Tay quay 3T5,Cỡ: 3T5,,480000
PC-0996,Khớp nối,Phe cài,Phe cài PHI 70,Phi: PHI 70,,12000
CS-0997,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L050,Cỡ: L050,,17000
CS-0998,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 67,Cỡ: NM 67,,35000
CS-0999,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL số 2,Cỡ: số 2,,25000
CS-1000,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L070,Cỡ: L070,,22000
CS-1001,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 82,Cỡ: NM 82,,40000
CS-1002,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL số 3,Cỡ: số 3,,35000
CS-1003,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L075,Cỡ: L075,,30000
CS-1004,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 97,Cỡ: NM 97,,60000
CS-1005,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL số 4,Cỡ: số 4,,45000
CS-1006,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L090/95,Cỡ: L090/95,,35000
CS-1007,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 112,Cỡ: NM 112,,65000
CS-1008,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL số 5,Cỡ: số 5,,50000
CS-1009,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L99/100,Cỡ: L99/100,,45000
CS-1010,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 128,Cỡ: NM 128,,105000
CS-1011,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL số 6,Cỡ: số 6,,60000
CS-1012,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L110,Cỡ: L110,,60000
CS-1013,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 148,Cỡ: NM 148,,120000
CS-1014,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L150,Cỡ: L150,,90000
CS-1015,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 168,Cỡ: NM 168,,160000
CS-1016,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL GR 14,Cỡ: GR 14,,20000
CS-1017,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L190,Cỡ: L190,,140000
CS-1018,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 194,Cỡ: NM 194,,180000
CS-1019,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL GR 19,Cỡ: GR 19,,25000
CS-1020,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL L225,Cỡ: L225,,175000
CS-1021,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM NM 214,Cỡ: NM 214,,220000
CS-1022,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL GR 24,Cỡ: GR 24,,30000
CS-1023,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL HRC 70,Cỡ: HRC 70,,40000
CS-1024,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM HRC 130,Cỡ: HRC 130,,150000
CS-1025,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL GR 28,Cỡ: GR 28,,40000
CS-1026,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL HRC 90,Cỡ: HRC 90,,85000
CS-1027,Khớp nối,Cao su khớp nối NM,Cao su khớp nối NM HRC 150,Cỡ: HRC 150,,200000
CS-1028,Khớp nối,Cao su khớp nối FCL,Cao su khớp nối FCL GR 38,Cỡ: GR 38,,75000
CS-1029,Khớp nối,Cao su khớp nối CL,Cao su khớp nối CL HRC 110,Cỡ: HRC 110,,100000
NMT-1030,Nhông đĩa xích,Nhông miếng không cùi (Sprocket TA),Nhông RS50 Z8,Cỡ xích: RS50 | Số răng: 8,,17000
NMT-1031,Nhông đĩa xích,Nhông miếng không cùi (Sprocket TA),Nhông RS60 Z8,Cỡ xích: RS60 | Số răng: 8,,25000
NMT-1032,Nhông đĩa xích,Nhông miếng không cùi (Sprocket TA),Nhông RS80 Z8,Cỡ xích: RS80 | Số răng: 8,,39000
